train/reward,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/loss,train/std,train/clip_fraction,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate
3.8960133,124,1429,178176,87,0.8125699162483215,0.2,-0.005562631247448735,0.00982978,37.732913970947266,1.139237642288208,0.082568359375,860,79.70677213668823,-44.90243725776672,0.00025
-1.6186426,124,1445,180224,88,0.6282738447189331,0.2,-0.003998175894957967,0.02759172,161.32061767578125,1.1431084871292114,0.262158203125,870,285.434490609169,-44.944004678726195,0.00025
-0.22954614,124,1461,182272,89,0.659908264875412,0.2,0.0013806790826492942,0.02321419,239.51206970214844,1.1476939916610718,0.234814453125,880,393.3827159881592,-45.05506699085235,0.00025
-1.2173266,124,1477,184320,90,0.4911039471626282,0.2,-0.003196571810985915,0.0041495822,186.3837432861328,1.147887945175171,0.014501953125,890,371.7430517196655,-45.12349624633789,0.00025
-0.60021013,124,1494,186368,91,0.8768090531229973,0.2,0.0028823275060858577,0.03270653,23.254756927490234,1.1484835147857666,0.212451171875,900,40.127538645267485,-45.12760124206543,0.00025
-1.6359726,124,1510,188416,92,0.6938733756542206,0.2,0.005907661747187376,0.025118371,206.80670166015625,1.151309609413147,0.27880859375,910,371.03873319625853,-45.16114830970764,0.00025
-4.486595,124,1526,190464,93,0.5702053308486938,0.2,-0.003943443644675426,0.01901663,221.2831268310547,1.1513022184371948,0.098876953125,920,453.2769772529602,-45.21369025707245,0.00025
-0.18787596,124,1543,192512,94,0.8259126394987106,0.2,-0.000287016382208094,0.011921711,23.715045928955078,1.1513782739639282,0.179345703125,930,51.92932019233704,-45.214918160438536,0.00025
-0.73419785,124,1559,194560,95,0.587926596403122,0.2,-0.004570581909501925,0.0325021,75.88444519042969,1.1545183658599854,0.344189453125,940,300.51092796325685,-45.253905057907104,0.00025
6.9179215,124,1575,196608,96,0.6897820830345154,0.2,-0.006191697990288958,0.025710665,141.74900817871094,1.1555677652359009,0.209228515625,950,339.5155728340149,-45.30438697338104,0.00025
-0.30007705,124,1591,198656,97,0.6784998774528503,0.2,0.004026446657371707,0.028345454,90.70055389404297,1.1560711860656738,0.2419921875,960,168.35160784721376,-45.323826575279234,0.00025
2.2116985,124,1608,200704,98,0.5274648666381836,0.2,-0.004275527944264468,0.0240599,332.50958251953125,1.1581538915634155,0.21904296875,970,343.0894031047821,-45.35309641361236,0.00025
